ingreso_Max_Sum;retiro_Max_Sum;suspension_temporal_Max_Sum;incapacidas_por_trabajo_Max_Sum;vacaciones_Max_Sum;cot_obligatoria_salud_Max_Sum;cot_obligatoria_salud_Max_Count;aporte_cot_obligatoria_pension_Max_Sum;aporte_cot_obligatoria_pension_Max_Count;variacion_transitoria_salario_Max_Sum;variacion_permanente_salario_Max_Sum;licencia_maternidad_Max_Sum;cot_obligatoria_arl_Max_Sum;cot_obligatoria_arl_Max_Count;valor_aportes_ccf_Max_Sum;valor_aportes_ccf_Max_Count;valor_aportes_parafiscales_sena_Max_Sum;valor_aportes_parafiscales_sena_Max_Count;valor_aportes_parafiscales_icbf_Max_Sum;valor_aportes_parafiscales_icbf_Max_Count;Tipologia;Edad_fin;Sexo_fin;YEAR;MONTH;Contribuye_salud_Sum;Contribuye_pension_Sum;Contribuye_arl_Sum;Contribuye_ccf_Sum;Contribuye_sena_Sum;Contribuye_icbf_Sum;Total_relaciones_laborales
3;3;0;0;0;97943800;840;2320000;840;4;2;0;1082100;840;38800;840;0;840;0;840;"Independiente";90;"M";2018;6;837;5;42;3;0;0;840
10;6;0;0;0;102352400;820;3437200;820;4;2;0;857200;820;23100;820;0;820;0;820;"Independiente";90;"M";2018;8;815;6;42;2;0;0;820
4;4;0;0;0;97809700;822;2195000;822;5;0;0;839900;822;23100;822;0;822;0;822;"Independiente";90;"M";2018;7;819;4;39;2;0;0;822
15;12;1;0;0;40033700;165;21011100;165;28;2;2;4314000;165;19868000;165;6972800;165;10458800;165;"Dep_sec_priv";88;"M";2018;5;165;65;161;159;38;38;165
14;17;2;0;0;41201100;162;21706300;162;26;1;5;4289400;162;19718800;162;7221100;162;10831100;162;"Dep_sec_priv";88;"M";2018;6;162;64;157;156;39;39;162
9;7;1;0;0;38776300;143;17797100;143;21;1;5;4200100;143;18950800;143;6955700;143;10433400;143;"Dep_sec_priv";88;"M";2018;7;143;52;138;138;33;33;143
8;10;1;0;0;38696900;144;17386700;144;19;1;4;4319500;144;18908000;144;6984000;144;10475400;144;"Dep_sec_priv";88;"M";2018;8;144;52;140;140;34;34;144
2;0;0;0;0;15397800;115;266200;115;0;0;0;74700;115;15700;115;0;115;0;115;"Independiente";97;"M";2018;7;115;1;7;1;0;0;115
2;1;0;0;0;15384400;116;266200;116;0;0;0;68800;116;15700;116;0;116;0;116;"Independiente";97;"M";2018;6;116;1;7;1;0;0;116
1;2;0;0;0;15300000;116;266200;116;0;0;0;65200;116;15700;116;0;116;0;116;"Independiente";97;"M";2018;5;116;1;7;1;0;0;116
12895;12166;2820;856;185;13359073600;141404;35612382500;141404;62039;2471;7162;6491861350;141404;8912287000;141404;1008410500;141404;1513609400;141404;"Dep_sec_priv";36;"M";2018;8;140989;132318;140190;140117;15017;15020;141404
6305;5073;1565;258;718;10719036300;98979;25105901800;98979;36257;1691;5745;2187223500;98979;6263310400;98979;962318100;98979;1444307600;98979;"Dep_sec_priv";39;"F";2018;8;98804;92455;97536;97895;18141;18150;98979
11994;12078;2611;819;167;13399040496;139070;34988872899;139070;59918;3000;5965;6338883474;139070;8786302300;139070;1058067000;139070;1587712200;139070;"Dep_sec_priv";37;"M";2018;5;138672;129990;137949;137561;15300;15301;139070
6;4;0;0;0;10914600;46;8901500;46;8;1;0;1747100;46;4441000;46;1426600;46;2139600;46;"Dep_sec_priv";95;"M";2018;8;46;23;46;46;12;12;46
2711;2489;694;196;6;6844314299;61342;14800114800;61342;19056;913;2406;1177398200;61342;3720368900;61342;677201000;61342;1016261400;61342;"Dep_sec_priv";48;"F";2018;5;61242;57337;60625;60586;12953;12953;61342
19028;18703;4707;912;183;7563706549;155765;25485007100;155765;70503;4552;7292;4499552565;155765;6357718700;155765;241889600;155765;362845780;155765;"Dep_sec_priv";25;"M";2018;7;155365;146875;154793;154467;9964;9972;155765
1578;1042;1;0;0;2943544300;22520;3488446977;22520;629;237;4;343186900;22520;32552900;22520;999000;22520;1767300;22520;"Independiente";34;"M";2018;5;20628;18252;13811;1664;11;16;22520
12458;12464;2814;813;186;13220800319;141746;35256325600;141746;61990;3079;6124;6430072300;141746;8836910140;141746;1001655720;141746;1503121680;141746;"Dep_sec_priv";36;"M";2018;5;141345;132773;140656;140240;15204;15204;141746
11471;12755;2807;758;189;14033892639;140838;35826189500;140838;61559;2515;9064;6414843550;140838;8937315900;140838;1140319000;140838;1711715600;140838;"Dep_sec_priv";36;"M";2018;6;140454;131914;139492;139142;15783;15784;140838
14;7;0;0;0;129545000;1138;2001000;1138;5;1;0;782100;1138;224600;1138;0;1138;0;1138;"Independiente";88;"M";2018;6;1133;10;51;13;0;0;1138
2;1;0;0;0;1231900;14;1308800;14;1;1;0;287000;14;473200;14;180400;14;354900;14;"Dep_No_priv";88;"M";2018;5;6;3;13;3;3;3;14
14093;14113;3446;881;253;11369623700;147279;33249411700;147279;65049;4153;8844;6020062915;147279;8297336700;147279;671741200;147279;1008033890;147279;"Dep_sec_priv";32;"M";2018;7;146867;138147;146038;145834;12842;12851;147279
17564;17797;4419;946;223;7676137569;154271;25449499300;154271;69481;3067;6904;4452169950;154271;6350466000;154271;271555200;154271;407304986;154271;"Dep_sec_priv";25;"M";2018;6;153907;145580;153305;152813;10071;10079;154271
999;1100;105;35;18;3010765300;14878;4975328800;14878;7308;196;423;538847400;14878;1296815800;14878;297771400;14878;902586500;14878;"Dep_No_priv";35;"M";2018;5;10426;10234;10523;11077;8419;9617;14878
